budget,method,n,successes,observed,ci_low,ci_high,application_bytes,send_mask,analytical_not_measured,processing_n,processing_mean,processing_sd,processing_median,processing_p95,processing_p99,processing_minimum,processing_maximum
1320,gatl_gateway,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,36.19638503454715,10.483385958541874,31.508462,61.952059000000006,65.26205519999999,29.627527,76.997236
1320,gatl_uniform_3_5,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,52.88659998786181,15.294923800650956,45.781282,89.937703,94.99157749999998,44.1017,118.430605
1320,native,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,1320,1,0.8000000000000002,1071,0.11177694211017739,0.09369351270143038,0.107106,0.18375950000000002,0.21415679999999995,0.033703,2.238922
1320,replication,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,1320,1,0.8000000000000002,1071,0.21001900933706816,0.06796654481047773,0.196846,0.345035,0.38561479999999987,0.111957,1.153829
1320,rs_2_5_gateway_check,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,13.752052468720823,4.1455431119742165,11.854756,23.4591055,25.075721799999997,11.295477,31.900146
1320,rs_3_5,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,9.984697768440709,3.0263573201811598,8.673721,17.237747499999998,19.066626799999995,7.995732,24.271558
1320,shamir_3_5,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,52.88666619421102,15.304777887161244,45.783752,89.906261,95.52681179999998,44.208887,116.644856
2640,gatl_gateway,1071,680,0.6349206349206349,0.6056518438363503,0.6632250194706233,2640,3,0.6400000000000001,1071,40.876114016806724,12.60135819582381,37.122346,72.34989300000001,76.4662676,30.45184,85.853481
2640,gatl_uniform_3_5,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,52.91759523902894,15.340355259037377,45.804454,90.044828,95.80140699999998,43.737303,107.441688
2640,native,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,1320,1,0.8000000000000002,1071,0.10961869934640522,0.044068594265460996,0.107149,0.191011,0.21809309999999996,0.034126,0.397844
2640,replication,1071,1025,0.9570494864612512,0.9431857386158777,0.9676462654586113,2640,3,0.9600000000000001,1071,0.25169818300653596,0.09785207303711968,0.230933,0.4130115,0.4636915999999998,0.117525,2.416846
2640,rs_2_5_gateway_check,1071,816,0.7619047619047619,0.7354889890846561,0.7864484514524106,2328,7,0.7680000000000001,1071,16.918437588235296,5.579045883183142,14.979247,30.576056,33.4739183,11.501194,37.968344
2640,rs_3_5,1071,870,0.8123249299719888,0.7878396906173566,0.8345776849963646,2380,15,0.8192000000000002,1071,14.466927443510738,4.893173047902515,13.726886,26.715007,28.340863399999993,8.22342,35.456509
2640,shamir_3_5,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,53.03304616059757,15.4537798460633,45.800618,90.06115249999999,98.17774749999998,43.998137,109.320216
2975,gatl_gateway,1071,680,0.6349206349206349,0.6056518438363503,0.6632250194706233,2640,3,0.6400000000000001,1071,40.65485260410831,12.339179077361836,37.064364,72.2615765,75.62331799999998,30.639751,83.994941
2975,gatl_uniform_3_5,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,52.75919593930906,15.322157757228963,45.816918,90.205988,96.9344391,43.99239,117.295622
