method,metric,unit,condition,n,mean,sd,median,p95,p99,minimum,maximum
gatl_gateway,share_ns,ms,all_trials_actual_work,105,35.892819209523815,9.889929107863328,31.621482,61.640687799999995,63.489062919999995,30.467231,65.149821
gatl_gateway,reconstruct_ns,ms,all_trials_actual_work,105,5.228299828571428,3.008180351535896,5.726548,11.1125272,11.56722896,0.091822,11.632511
gatl_gateway,sender_non_share_ns,ms,all_trials_actual_work,105,0.1979876761904762,0.04443680100056,0.183129,0.3026912,0.3437418799999998,0.152133,0.354904
gatl_gateway,receiver_non_reconstruct_ns,ms,all_trials_actual_work,105,0.22336477142857142,0.061426268360039255,0.214957,0.3563824,0.4118112799999997,0.107721,0.438565
gatl_gateway,decapsulation_ns,ms,all_trials_actual_work,105,0.1483290857142857,0.08090421140841546,0.168729,0.2683594,0.28312003999999996,0.0,0.28823
gatl_uniform_3_5,share_ns,ms,all_trials_actual_work,105,52.141598952380946,14.882028119001529,45.55343,88.294562,90.54331544,43.711576,93.728189
gatl_uniform_3_5,reconstruct_ns,ms,all_trials_actual_work,105,10.015001438095238,3.883892455786376,9.177,18.192308,19.670562119999992,0.143939,21.856038
gatl_uniform_3_5,sender_non_share_ns,ms,all_trials_actual_work,105,0.21606875238095238,0.09822615702842452,0.191016,0.3163632,0.37897075999999963,0.164228,1.097202
gatl_uniform_3_5,receiver_non_reconstruct_ns,ms,all_trials_actual_work,105,0.24529600952380953,0.07738966940531126,0.233918,0.41367,0.4963008399999996,0.107877,0.513937
gatl_uniform_3_5,decapsulation_ns,ms,all_trials_actual_work,105,0.1824127904761905,0.055691697880228076,0.17389,0.28080279999999996,0.2941663599999999,0.0,0.314865
native,share_ns,ms,all_trials_actual_work,105,0.0034026476190476196,0.0007808325559317635,0.003408,0.004642199999999999,0.0049811199999999995,0.0018,0.005402
native,reconstruct_ns,ms,all_trials_actual_work,105,0.005583266666666667,0.0033185100319347055,0.006511,0.009181999999999997,0.010902039999999995,0.0,0.021868
native,sender_non_share_ns,ms,all_trials_actual_work,105,0.05197203809523809,0.014138566926974417,0.047106,0.08323359999999999,0.09772759999999996,0.034799,0.098737
native,receiver_non_reconstruct_ns,ms,all_trials_actual_work,105,0.04961931428571428,0.029783391070203193,0.05186,0.08732699999999999,0.12070819999999999,0.0,0.138463
native,decapsulation_ns,ms,all_trials_actual_work,105,0.1363612095238095,0.0755856000756879,0.151657,0.24395679999999997,0.25956363999999993,0.0,0.288744
