method,condition,metric,unit,n,mean,sd,median,p95,p99,minimum,maximum,ci_method,block_length,bootstrap_valid,bootstrap_requested,strata,strata_shorter_than_block,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,p95_ci_low,p95_ci_high
native,all,transport_processing_ns,ms,1008,0.11147105753968253,0.04855867891856663,0.106653,0.19615145,0.22719106999999994,0.035182,0.868202,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,0.10835161029265873,0.11469451622023809,0.10519452500000001,0.10852168749999999,0.188346,0.202704
native,failure,transport_processing_ns,ms,209,0.05616854545454546,0.01945126032027752,0.049264,0.09513339999999999,0.1165328799999999,0.035182,0.122602,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,0.053617043333333336,0.059030220456005145,0.046711,0.052311,0.09168137874999993,0.10092309999999997
native,successful_release,successful_transport_until_release_ns,ms,799,0.12593692115143929,0.04320138787427088,0.112731,0.2021873,0.23162992,0.079345,0.868202,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,0.12307214187288286,0.12902147546934287,0.110872,0.114912,0.195475,0.20723424874999996
replication,all,transport_processing_ns,ms,1008,0.33920878769841273,0.11746871839198712,0.306133,0.54568615,0.5971328699999997,0.173828,2.715616,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,0.3328107594246032,0.3470131138640873,0.303351,0.309879,0.5323605699999999,0.555853
replication,failure,transport_processing_ns,ms,0,,,,,,,,,,,,,,,,,,,
replication,successful_release,successful_transport_until_release_ns,ms,1008,0.23154383134920636,0.09191189503829533,0.2042705,0.35478614999999997,0.40137171999999965,0.160429,2.438267,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,0.22671132413194447,0.23793019873511903,0.20232899999999998,0.205408,0.3502644,0.361913
rs_3_5,all,transport_processing_ns,ms,1008,16.281611004960318,5.2438395313802575,14.073824,27.847447699999996,31.851766299999998,8.338287,36.442986,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,15.99980344298115,16.56250100610119,13.995918487500001,14.194137999999999,27.374663050000002,29.717607
rs_3_5,failure,transport_processing_ns,ms,49,9.965525959183672,2.815988652875176,8.765407,17.562879199999998,17.961773079999997,8.338287,18.155575,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,9.24153072716195,10.803974853396227,8.710548,8.833644874999996,11.227203507499995,18.075328892499996
rs_3_5,successful_release,successful_transport_until_release_ns,ms,959,16.551394038581858,5.119761490381653,14.080461,27.920447799999994,31.7702317,11.494253,36.306932,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,16.274858095136835,16.826708352188437,13.999936487500001,14.511777924999999,27.42643302,29.788154289999994
shamir_3_5,all,transport_processing_ns,ms,1008,63.242021220238094,18.71127598068343,55.1562835,107.93339519999999,116.64352665999998,44.219644,202.706215,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,62.24441676577381,64.19339355265377,55.056861,55.242634262500005,106.590463,108.950422
shamir_3_5,failure,transport_processing_ns,ms,49,54.13395706122449,16.534239284372653,46.062513,90.3660806,91.92941504000001,44.219644,92.212748,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,49.73795986421569,59.1183225872449,45.8747065,46.841838,84.44842985625,92.00615105
shamir_3_5,successful_release,successful_transport_until_release_ns,ms,959,63.648424088633995,18.689493698606398,55.149389,108.11257079999999,116.94124565999996,53.0157,202.706215,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,62.696294126550704,64.62485753780525,55.067181,55.265702,106.69476957874998,108.939517
gatl_uniform_3_5,all,transport_processing_ns,ms,1008,63.44936371130952,18.82818602949875,55.298986,108.91376585,115.95301754999998,44.952402,197.060142,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,62.46111598137401,64.44814209960317,55.213286,55.4203320875,107.42449745,109.6587717
gatl_uniform_3_5,failure,transport_processing_ns,ms,49,55.01938842857143,16.395441846576865,46.508386,91.47043980000001,94.30828327999998,44.952402,95.950682,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,50.73250877061211,59.65548543816964,45.995865,48.306694,84.605201,94.92418279999998
gatl_uniform_3_5,successful_release,successful_transport_until_release_ns,ms,959,63.82029241293014,18.835246853224547,55.300078,108.93299409999999,115.88942524,53.152009,197.060142,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,62.8333346104935,64.82822954767317,55.195238,55.4346,107.61182724999999,109.659818135
gatl_gateway,all,transport_processing_ns,ms,1008,42.196068469246036,12.77128006770582,37.443593,73.57003224999998,79.06393424999999,30.767783,109.927388,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,41.5718817686756,42.87029761532738,37.394509,37.505633,72.46724978875001,74.561802
gatl_gateway,failure,transport_processing_ns,ms,209,37.87093920095694,11.270846640708488,31.969242,62.4569816,65.70723923999998,30.767783,70.494868,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,36.40372209855277,39.41692008688748,31.86579,32.209226,61.551984338749996,63.59957641375
gatl_gateway,successful_release,successful_transport_until_release_ns,ms,799,43.26450757697121,12.886152413146508,37.52302,74.3150343,79.9950463,36.163209,109.818919,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,42.49327113132126,44.075546806815936,37.464974,37.578720625,73.1067486175,75.260530715
rs_2_5_gateway_check,all,transport_processing_ns,ms,1008,17.3876096875,5.568742070146267,16.157358000000002,31.3458315,33.34098882999999,11.544916,58.51231,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,17.06785458062996,17.70438939776786,15.988612,16.21911,29.8451719,31.935701
rs_2_5_gateway_check,failure,transport_processing_ns,ms,209,14.308741028708136,4.405312378577792,12.096614,23.5511038,24.770897119999997,11.544916,29.809521,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,13.714170879400644,14.941502074386495,12.046394,12.177673,23.24444730625,23.837779
rs_2_5_gateway_check,successful_release,successful_transport_until_release_ns,ms,799,18.132543210262828,5.542284214788137,16.210549,31.75992,33.300048679999996,14.351272,58.416517,stratified_circular_block_percentile,14.0,2000.0,2000.0,3.0,0.0,17.76325967694162,18.50831996192348,16.166707,16.26475,31.0548206,32.12125
