phase,replicate,trial_id,scenario_id,received_mask,arrival_order,method_order
pilot,0,0,iid_p25,28,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p00,31,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,shared_risk_matched_p20,29,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p60,8,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p50,24,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p55,8,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p35,28,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p05,31,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p40,28,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p10,29,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p20,28,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,heterogeneous_example,29,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p30,28,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p45,24,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,0,iid_p15,29,L2|E1|E2|L1|G1,replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5
pilot,0,1,iid_p20,15,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p40,13,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p60,13,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p35,15,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p30,15,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p10,15,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p25,15,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p45,13,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p50,13,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p55,13,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p00,31,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,shared_risk_matched_p20,15,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p15,15,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,heterogeneous_example,15,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,1,iid_p05,31,L1|E1|G1|E2|L2,shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication
pilot,0,2,iid_p30,13,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,heterogeneous_example,13,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p60,1,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,shared_risk_matched_p20,15,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p15,15,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p40,5,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p55,1,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p45,1,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p10,15,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
