method,scenario_id,n,successes,failures,observed,ci_low,ci_high,analytical_not_measured,observed_minus_analytical,analytical_inside_pointwise_ci
native,iid_p00,1071,1071,0,1.0,0.996426022843491,1.0,1.0,0.0,True
replication,iid_p00,1071,1071,0,1.0,0.996426022843491,1.0,1.0,0.0,True
rs_3_5,iid_p00,1071,1071,0,1.0,0.996426022843491,1.0,1.0,0.0,True
shamir_3_5,iid_p00,1071,1071,0,1.0,0.996426022843491,1.0,1.0,0.0,True
gatl_uniform_3_5,iid_p00,1071,1071,0,1.0,0.996426022843491,1.0,1.0,0.0,True
gatl_gateway,iid_p00,1071,1071,0,1.0,0.996426022843491,1.0,1.0,0.0,True
rs_2_5_gateway_check,iid_p00,1071,1071,0,1.0,0.996426022843491,1.0,1.0,0.0,True
native,iid_p05,1071,1011,60,0.9439775910364145,0.92855161751064,0.9562300330254571,0.9500000000000001,-0.006022408963585524,True
replication,iid_p05,1071,1071,0,1.0,0.996426022843491,1.0,0.9999996875000001,3.1249999987714716e-07,True
rs_3_5,iid_p05,1071,1071,0,1.0,0.996426022843491,1.0,0.9988418750000001,0.0011581249999998988,True
shamir_3_5,iid_p05,1071,1071,0,1.0,0.996426022843491,1.0,0.9988418750000001,0.0011581249999998988,True
gatl_uniform_3_5,iid_p05,1071,1071,0,1.0,0.996426022843491,1.0,0.9988418750000001,0.0011581249999998988,True
gatl_gateway,iid_p05,1071,1011,60,0.9439775910364145,0.92855161751064,0.9562300330254571,0.9499940625000001,-0.0060164714635855265,True
rs_2_5_gateway_check,iid_p05,1071,1011,60,0.9439775910364145,0.92855161751064,0.9562300330254571,0.9499940625000001,-0.0060164714635855265,True
native,iid_p10,1071,950,121,0.8870214752567693,0.8666625702746775,0.904613968415569,0.9000000000000001,-0.012978524743230802,True
replication,iid_p10,1071,1071,0,1.0,0.996426022843491,1.0,0.9999900000000002,9.999999999843467e-06,True
rs_3_5,iid_p10,1071,1065,6,0.9943977591036415,0.9878315969109027,0.9974299887018488,0.9914400000000002,0.0029577591036412665,True
shamir_3_5,iid_p10,1071,1065,6,0.9943977591036415,0.9878315969109027,0.9974299887018488,0.9914400000000002,0.0029577591036412665,True
gatl_uniform_3_5,iid_p10,1071,1065,6,0.9943977591036415,0.9878315969109027,0.9974299887018488,0.9914400000000002,0.0029577591036412665,True
gatl_gateway,iid_p10,1071,950,121,0.8870214752567693,0.8666625702746775,0.904613968415569,0.8999100000000002,-0.012888524743230878,True
rs_2_5_gateway_check,iid_p10,1071,950,121,0.8870214752567693,0.8666625702746775,0.904613968415569,0.8999100000000002,-0.012888524743230878,True
native,iid_p15,1071,895,176,0.8356676003734828,0.8122813662446645,0.856654497830471,0.8499999999999999,-0.014332399626517112,True
replication,iid_p15,1071,1071,0,1.0,0.996426022843491,1.0,0.9999240624999999,7.593750000012278e-05,True
rs_3_5,iid_p15,1071,1055,16,0.9850606909430439,0.9758705239839756,0.9907836662442104,0.9733881249999999,0.011672565943044,False
