method,replicate,successes_in_latency_subset,n,mean,sd,median,p95,p99,minimum,maximum
native,0,268,336,0.11082531547619048,0.05886102580172658,0.10609450000000001,0.1904075,0.22814454999999983,0.035182,0.868202
native,1,267,336,0.11247640773809524,0.04220036448216156,0.1085065,0.19623825,0.2215521999999999,0.035933,0.234185
native,2,264,336,0.1111114494047619,0.04290524888354135,0.1071515,0.19972325,0.23340524999999995,0.036754,0.269319
replication,0,336,336,0.33328930654761907,0.08571521881957625,0.304454,0.5355587500000001,0.5722134499999997,0.178697,0.698459
replication,1,336,336,0.34532509821428575,0.1585088966429721,0.306619,0.556681,0.6004924999999999,0.212806,2.715616
replication,2,336,336,0.3390119583333333,0.09452093527356416,0.3063175,0.54775275,0.6100142999999992,0.173828,0.651115
rs_3_5,0,322,336,16.45361480357143,5.248536064388297,14.186698499999999,27.6030265,31.969234949999997,8.596378,34.948232
rs_3_5,1,326,336,16.364411970238095,5.270681932632606,14.093633,28.65869875,31.921502349999997,8.688459,36.442986
rs_3_5,2,311,336,16.026806241071426,5.218125828639246,13.9886375,27.552059,30.668538799999997,8.338287,31.862724
shamir_3_5,0,322,336,63.20447844047619,19.34541788189139,55.134653,107.401854,113.63761014999993,45.150349,202.706215
shamir_3_5,1,326,336,62.97493956250001,17.903076173639814,55.280730000000005,108.58309175000001,120.06927174999997,45.543705,123.010172
shamir_3_5,2,311,336,63.54664565773809,18.90752243687573,55.039253,107.976938,112.01205225,44.219644,122.388373
gatl_uniform_3_5,0,322,336,63.661970583333336,19.958402646122106,55.2421145,109.54500775,119.09863249999994,44.952402,197.060142
gatl_uniform_3_5,1,326,336,62.63732976488096,17.48377266156835,55.373667499999996,107.23155725,111.01153329999998,45.339264,117.15569
gatl_uniform_3_5,2,311,336,64.04879078571429,18.987652744734714,55.3038725,108.8847095,115.45486894999998,45.279824,120.894132
gatl_gateway,0,268,336,42.278554547619045,13.400638170023415,37.3633855,73.96111425000001,88.80389799999995,31.062219,109.927388
gatl_gateway,1,267,336,41.87947441071428,12.140450292961317,37.539356,72.915324,77.43397689999998,30.767783,80.197922
gatl_gateway,2,264,336,42.43017644940476,12.773432833758617,37.4457455,73.83007875,78.98409925,30.881386,85.945172
rs_2_5_gateway_check,0,268,336,17.397962729166665,5.732347410289221,16.1709035,29.91350675,34.52155919999996,11.752803,58.51231
rs_2_5_gateway_check,1,267,336,17.220442220238095,5.3824253183166695,16.139558,31.20271175,33.11426964999999,11.544916,36.807958
rs_2_5_gateway_check,2,264,336,17.54442411309524,5.597740184089842,16.1352805,31.99704825,33.3339138,11.737866,34.828719
