method,metric,condition,unit,n,mean,sd,median,p95,p99,minimum,maximum
gatl_gateway,session_setup_ns,all,ms,1008,0.2637608224206349,0.06668557691030491,0.2469445,0.4084372,0.4531257499999999,0.176906,0.811216
gatl_gateway,cleanup_ns,all,ms,1008,0.007343198412698413,0.002681362382953197,0.006565,0.0115167,0.016824179999999973,0.004189,0.042234
gatl_gateway,decapsulation_ns,success_only,ms,799,0.1916394768460576,0.0394883618670617,0.174186,0.279547,0.3038871,0.152055,0.408159
gatl_uniform_3_5,session_setup_ns,all,ms,1008,0.2702790873015873,0.07025460541189629,0.2521415,0.41996579999999994,0.4628244799999999,0.174053,0.763901
gatl_uniform_3_5,cleanup_ns,all,ms,1008,0.008410680555555557,0.03229116638847291,0.006703499999999999,0.011267699999999999,0.01508724999999999,0.004711,1.029462
gatl_uniform_3_5,decapsulation_ns,success_only,ms,959,0.1992461511991658,0.16951647150462695,0.175638,0.27977230000000003,0.30796626,0.156964,5.295379
native,session_setup_ns,all,ms,1008,0.205805875,0.050598983832701,0.1964145,0.31131575,0.33804997000000003,0.122458,0.491462
native,cleanup_ns,all,ms,1008,0.004340850198412698,0.0019315945295002245,0.003678,0.0072678499999999984,0.011191469999999986,0.002887,0.026338
native,decapsulation_ns,success_only,ms,799,0.1718902190237797,0.03703794341031915,0.154743,0.2535009,0.2748310199999999,0.131995,0.306433
replication,session_setup_ns,all,ms,1008,0.22494010515873014,0.09211381820371137,0.2113745,0.33503745,0.37261785,0.129386,2.295793
replication,cleanup_ns,all,ms,1008,0.004418946428571428,0.0021162464055877335,0.0037914999999999997,0.006976949999999999,0.011801729999999998,0.002905,0.039985
replication,decapsulation_ns,success_only,ms,1008,0.17472604365079364,0.0390917934550127,0.158559,0.2587214,0.27998720999999976,0.13099,0.39282
rs_2_5_gateway_check,session_setup_ns,all,ms,1008,0.24566310714285713,0.07512777760246889,0.2351895,0.3696725,0.40088201999999973,0.156384,1.636994
rs_2_5_gateway_check,cleanup_ns,all,ms,1008,0.006543415674603174,0.002862720861994139,0.005784,0.0101281,0.016069809999999865,0.003695,0.040022
rs_2_5_gateway_check,decapsulation_ns,success_only,ms,799,0.18771435043804757,0.04371820407967632,0.17004,0.2755276,0.29271329999999995,0.136169,0.74019
rs_3_5,session_setup_ns,all,ms,1008,0.24698002876984126,0.07162079626242172,0.237667,0.3816676,0.4181330999999999,0.15717,1.367204
rs_3_5,cleanup_ns,all,ms,1008,0.006302980158730158,0.00207428640188951,0.0057015,0.010200949999999999,0.013400679999999976,0.003307,0.032921
rs_3_5,decapsulation_ns,success_only,ms,959,0.18658925443169969,0.039692664575330355,0.170425,0.27596089999999995,0.28956961999999997,0.141268,0.369027
shamir_3_5,session_setup_ns,all,ms,1008,0.26608645039682544,0.07180327324992708,0.2516795,0.40894644999999996,0.4505072899999998,0.169918,1.165549
shamir_3_5,cleanup_ns,all,ms,1008,0.007428292658730159,0.0023721031841075764,0.0067445000000000005,0.01149245,0.01718140999999998,0.004327,0.030695
shamir_3_5,decapsulation_ns,success_only,ms,959,0.19730741084462983,0.08463871000892606,0.176558,0.27845619999999993,0.3003914799999999,0.152921,2.31795
